exp_num,subrun,N_species,N_dose,N_species_dose,temp,food,sym_state,food_sym_state,col_num,treat_ID,second_look,beetag,beetag_exprun,image_day,beetag_day1_exp_concat,image_name_day1,downloaded?,red_day1,beetag_day11_exp_concat,image_name_day11,downloaded?,red_day11,red_delta
1,A,N,1.5,N_1.5,30,F,A,F_A,168,N_1.5_30_F_A,1,G28Y62,G28Y62_exp1A,1,G28Y62_day1_exp1A,G28Y62_1A_day1.JPG,YES,,G28Y62_day11_exp1A,G28Y62_1A_day11.JPG,YES,,
1,A,N,1.5,N_1.5,30,F,A,F_A,150,N_1.5_30_F_A,1,G28Y63,G28Y63_exp1A,1,G28Y63_day1_exp1A,G28Y63_1A_day1.JPG,YES,,G28Y63_day11_exp1A,G28Y63_1A_day11.JPG,YES,,
1,A,N,1.5,N_1.5,30,F,S,F_S,148,N_1.5_30_F_S,1,G28Y65,G28Y65_exp1A,1,G28Y65_day1_exp1A,G28Y65_1A_day1.JPG,YES,,G28Y65_day11_exp1A,G28Y65_1A_day11.JPG,YES,,
1,A,N,1.5,N_1.5,30,F,S,F_S,153,N_1.5_30_F_S,1,G28Y67,G28Y67_exp1A,1,G28Y67_day1_exp1A,G28Y67_1A_day1.JPG,YES,,G28Y67_day11_exp1A,G28Y67_1A_day11.JPG,YES,,
1,A,N,18,N_18,30,S,A,S_A,151,N_18_30_S_A,1,R6W29,R6W29_exp1A,1,R6W29_day1_exp1A,R6W29_1A_day1.JPG,YES,,R6W29_day11_exp1A,R6W29_1A_day11.JPG,YES,,
1,A,N,18,N_18,30,S,S,S_S,152,N_18_30_S_S,1,R6W30,R6W30_exp1A,1,R6W30_day1_exp1A,R6W30_1A_day1.JPG,YES,,R6W30_day11_exp1A,R6W30_1A_day11.JPG,YES,,
1,B,N,1.5,N_1.5,30,F,A,F_A,165,N_1.5_30_F_A,1,G23Y0517,G23Y0517,1,G23Y0517_day1_exp1B,G23Y2820_1B_day1.JPG,YES,,G23Y0517_day11_exp1B,G23Y2820_1B_day11.JPG,YES,,
1,B,N,1.5,N_1.5,30,F,A,F_A,170,N_1.5_30_F_A,1,G23Y1819,G23Y1819_exp1B,1,G23Y1819_day1_exp1B,G23Y1819_1B_day1.JPG,YES,,G23Y1819_day11_exp1B,G23Y0517_1B_day11.JPG,YES,,
1,B,N,1.5,N_1.5,30,F,S,F_S,161,N_1.5_30_F_S,1,G23Y2129,G23Y2129_exp1B,1,G23Y2129_day1_exp1B,G23Y2129_1B_day1.JPG,YES,,G23Y2129_day11_exp1B,G23Y1819_1B_day11.JPG,YES,,
1,B,N,1.5,N_1.5,30,F,A,F_A,183,N_1.5_30_F_A,1,G23Y2820,G23Y2820_exp1B,1,G23Y2820_day1_exp1B,G23Y0517_1B_day1.JPG,YES,,G23Y2820_day11_exp1B,G23Y2129_1B_day11.JPG,YES,,
1,B,N,1.5,N_1.5,30,F,S,F_S,171,N_1.5_30_F_S,1,G23Y3130,G23Y3130_exp1B,1,G23Y3130_day1_exp1B,G23Y3130_1B_day1.JPG,YES,,G23Y3130_day11_exp1B,G23Y2820_1B_day11.JPG,YES,,
2,A,N,0,N_0,20,S,S,S_S,207,CNTRL_20_S_S,1,B22G27,B22G27_exp2A,1,B22G27_day1_exp2A,B22G27_2A_day1.JPG,YES,,B22G27_day11_exp2A,B22G27_2A_day11.JPG,YES,,
2,A,N,0,N_0,20,S,A,S_A,187,CNTRL_20_S_A,1,B22G28,B22G28_exp2A,1,B22G28_day1_exp2A,B22G28_2A_day1.JPG,YES,,B22G28_day11_exp2A,B22G28_2A_day11.JPG,YES,,
2,A,N,0,N_0,20,S,A,S_A,202,CNTRL_20_S_A,1,B22G29,B22G29_exp2A,1,B22G29_day1_exp2A,B22G29_2A_day1.JPG,YES,,B22G29_day11_exp2A,B22G29_2A_day11.JPG,YES,,
2,A,N,1.5,N_1.5,20,F,A,F_A,199,N_1.5_20_F_A,1,G23Y1819,G23Y1819_exp2A,1,G23Y1819_day1_exp2A,G23Y1819_2A_day1.JPG,YES,,G23Y2129_day11_exp2A,G23Y19_2A_day11.JPG,YES,,
2,A,N,1.5,N_1.5,20,F,S,F_S,185,N_1.5_20_F_S,1,G23Y2129,G23Y2129_exp2A,1,G23Y2129_day1_exp2A,G23Y2129_2A_day1.JPG,YES,,G23Y2820_day11_exp2A,G23Y20_2A_day11.JPG,YES,,
2,A,N,1.5,N_1.5,20,F,S,F_S,206,N_1.5_20_F_S,1,G23Y3130,G23Y3130_exp2A,1,G23Y3130_day1_exp2A,G23Y3130_2A_day1.JPG,YES,,G23Y3130_day11_exp2A,G23Y30_2A_day11.JPG,YES,,
2,A,N,1.5,N_1.5,20,F,A,F_A,174,N_1.5_20_F_A,1,G23Y0517,G23Y0517_exp2A,1,G23Y0517_day1_exp2A,G23Y0517_2A_day1.JPG,YES,,G23Y0517_day11_exp2A,G23Y0517_2A_day11.JPG,YES,,
2,A,N,1.5,N_1.5,30,F,S,F_S,206,N_1.5_30_F_S,1,G33Y1,G33Y1_exp2A,1,G33Y1_day1_exp2A,G33Y100_2A_day1.JPG,,,G33Y1_day11_exp2A,G33Y100_2A_day11.JPG,,,
2,A,N,1.5,N_1.5,30,F,S,F_S,185,N_1.5_30_F_S,1,G33Y100,G33Y100_exp2A,1,G33Y100_day1_exp2A,G33Y1_2A_day1.JPG,,,G33Y100_day11_exp2A,G33Y1_2A_day11.JPG,,,
2,B,N,1.5,N_1.5,30,F,A,F_A,175,N_1.5_30_F_A,1,G26Y52,G26Y52_exp2B,1,G26Y52_day1_exp2B,G26Y53_2B_day1(1).JPG,,,G26Y52_day11_exp2B,G26Y52_2B_day11.JPG,,,
3,A,N,1.5,N_1.5,20,F,A,F_A,223,N_1.5_20_F_A,1,G23Y1819,G23Y1819_exp3A,1,G23Y1819_day1_exp3A,G23Y17_3A_day1.JPG,,,G23Y1819_day11_exp3A,G23Y17_3A_day11.JPG,,,
3,A,N,1.5,N_1.5,20,F,A,F_A,237,N_1.5_20_F_A,1,G23Y2129,G23Y2129_exp3A,1,G23Y2129_day1_exp3A,G23Y19_3A_day1.JPG,,,G23Y2129_day11_exp3A,G23Y19_3A_day11.JPG,,,
3,A,N,1.5,N_1.5,20,F,S,F_S,239,N_1.5_20_F_S,1,G23Y3130,G23Y3130_exp3A,1,G23Y3130_day1_exp3A,G23Y29_3A_day1.JPG,,,G23Y3130_day11_exp3A,G23Y29_3A_day11.JPG,,,
3,A,N,1.5,N_1.5,20,F,S,F_S,240,N_1.5_20_F_S,1,G23Y5017,G23Y5017_exp3A,1,G23Y5017_day1_exp3A,G23Y30_3A_day1.JPG,,,G23Y5017_day11_exp3A,G23Y30_3A_day11.JPG,,,
3,A,N,1.5,N_1.5,30,F,A,F_A,226,N_1.5_30_F_A,1,G33Y1,G33Y1_exp3A,1,G33Y1_day1_exp3A,G33Y1_3A_day1.JPG,,,G33Y1_day11_exp3A,G33Y100_3A_day11.JPG,,,
3,A,N,1.5,N_1.5,30,F,S,F_S,240,N_1.5_30_F_S,1,G33Y100,G33Y100_exp3A,1,G33Y100_day1_exp3A,G33Y100_3A_day1.JPG,,,G33Y100_day11_exp3A,G33Y1_3A_day11.JPG,,,
3,A,N,5,N_5,30,F,A,F_A,241,N_5_30_F_A,1,Y7B44,Y7B44_exp3A,1,Y7B44_day1_exp3A,O10G21_3B_day1.JPG,,,Y7B44_day11_exp3A,Y7B44_3A_day11.JPG,,,
3,A,N,5,N_5,30,F,A,F_A,226,N_5_30_F_A,1,Y8B45,Y8B45_exp3A,1,Y8B45_day1_exp3A,O11G22_3B_day1.JPG,,,Y8B45_day11_exp3A,Y8B45_3A_day11.JPG,,,
3,A,N,5,N_5,30,F,A,F_A,237,N_5_30_F_A,1,Y8B46,Y8B46_exp3A,1,Y8B46_day1_exp3A,O11G23_3B_day1.JPG,,,Y8B46_day11_exp3A,Y8B46_3A_day11.JPG,,,
3,A,N,5,N_5,30,F,S,F_S,237,N_5_30_F_S,1,Y8B47,Y8B47_exp3A,1,Y8B47_day1_exp3A,O11G24_3B_day1.JPG,,,Y8B47_day11_exp3A,Y8B47_3A_day11.JPG,,,
3,A,N,5,N_5,30,F,S,F_S,239,N_5_30_F_S,1,Y8B48,Y8B48_exp3A,1,Y8B48_day1_exp3A,O11G25_3B_day1.JPG,,,Y8B48_day11_exp3A,Y8B48_3A_day11.JPG,,,
3,B,N,5,N_5,20,F,A,F_A,238,N_5_20_F_A,1,O12Y1,O12Y1_exp3B,1,O12Y1_day1_exp3B,Y7B40_3A_day1.JPG,,,O12Y1_day11_exp3B,O12Y1_3B_day11.JPG,,,
3,B,N,5,N_5,20,F,S,F_S,251,N_5_20_F_S,1,O12Y3,O12Y3_exp3B,1,O12Y3_day1_exp3B,Y7B42_3A_day1.JPG,,,O12Y3_day11_exp3B,O12Y3_3B_day11.JPG,,,
3,B,N,5,N_5,20,F,S,F_S,246,N_5_20_F_S,1,O12Y4,O12Y4_exp3B,1,O12Y4_day1_exp3B,Y7B43_3A_day1.JPG,,,O12Y4_day11_exp3B,O12Y4_3B_day11.JPG,,,
3,B,N,5,N_5,20,F,S,F_S,256,N_5_20_F_S,1,O12Y5,O12Y5_exp3B,1,O12Y5_day1_exp3B,Y7B44_3A_day1.JPG,,,O12Y5_day11_exp3B,O12Y5_3B_day11.JPG,,,
3,B,N,5,N_5,20,S,S,S_S,249,N_5_20_S_S,1,O13Y10,O13Y10_exp3B,1,O13Y10_day1_exp3B,Y8B45_3A_day1.JPG,,,O13Y10_day11_exp3B,O13Y10_3B_day11.JPG,,,
3,B,N,5,N_5,20,S,S,S_S,252,N_5_20_S_S,1,O13Y11,O13Y11_exp3B,1,O13Y11_day1_exp3B,Y8B46_3A_day1.JPG,,,O13Y11_day11_exp3B,O13Y11_3B_day11.JPG,,,
3,B,N,5,N_5,20,S,A,S_A,238,N_5_20_S_A,1,O13Y7,O13Y7_exp3B,1,O13Y7_day1_exp3B,Y8B48_3A_day1.JPG,,,O13Y7_day11_exp3B,O13Y7_3B_day11.JPG,,,
3,B,N,5,N_5,20,S,A,S_A,244,N_5_20_S_A,1,O13Y8,O13Y8_exp3B,1,O13Y8_day1_exp3B,Y8B49_3A_day1.JPG,,,O13Y8_day11_exp3B,O13Y8_3B_day11.JPG,,,
3,B,N,1.5,N_1.5,20,F,S,F_S,245,N_1.5_20_F_S,1,O5G5,O5G5_exp3B,1,O5G5_day1_exp3B,O5G5_3B_day1.JPG,,,O5G5_day11_exp3B,O5W5_3B_day11.JPG,,,
3,B,N,5,N_5,30,S,A,S_A,241,N_5_30_S_A,1,W12O51,W12O51_exp3B,1,W12O51_day1_exp3B,W12O51_3B_day1.JPG,,,W12O51_day11_exp3B,O3B13_3B_day11.JPG,,,
3,B,N,5,N_5,30,S,S,S_S,244,N_5_30_S_S,1,W12O52,W12O52_exp3B,1,W12O52_day1_exp3B,W12O52_3B_day1.JPG,,,W12O52_day11_exp3B,O3B14_3B_day11.JPG,,,
3,B,N,5,N_5,30,S,S,S_S,247,N_5_30_S_S,1,W12O53,W12O53_exp3B,1,W12O53_day1_exp3B,W12O53_3B_day1.JPG,,,W12O53_day11_exp3B,O3B15_3B_day11.JPG,,,
3,B,N,5,N_5,30,S,S,S_S,252,N_5_30_S_S,1,W12O54,W12O54_exp3B,1,W12O54_day1_exp3B,W12O54_3B_day1.JPG,,,W12O54_day11_exp3B,O3B17_3B_day11.JPG,,,
3,B,N,18,N_18,30,F,A,F_A,254,N_18_30_F_A,1,W14O66,W14O66_exp3B,1,W14O66_day1_exp3B,W14O66_3B_day1.JPG,,,W14O66_day11_exp3B,W13O60_3B_day11.JPG,,,
3,B,N,18,N_18,30,F,A,F_A,238,N_18_30_F_A,1,W15O67,W15O67_exp3B,1,W15O67_day1_exp3B,W15O67_3B_day1.JPG,,,W15O67_day11_exp3B,W14O62_3B_day1.JPG,,,
3,B,N,18,N_18,30,F,S,F_S,242,N_18_30_F_S,1,W15O69,W15O69_exp3B,1,W15O69_day1_exp3B,W15O69_3B_day1.JPG,,,W15O69_day11_exp3B,W14O63_3B_day1.JPG,,,
3,B,N,18,N_18,30,F,S,F_S,249,N_18_30_F_S,1,W15O70,W15O70_exp3B,1,W15O70_day1_exp3B,W15O70_3B_day1.JPG,,,W15O70_day11_exp3B,W14O64_3B_day1.JPG,,,
3,B,N,18,N_18,30,S,A,S_A,257,N_18_30_S_A,1,W15O72,W15O72_exp3B,1,W15O72_day1_exp3B,W15O72_3B_day1.JPG,,,W15O72_day11_exp3B,W14O66_3B_day1.JPG,,,
3,B,N,18,N_18,30,S,A,S_A,241,N_18_30_S_A,1,W16O73,W16O73_exp3B,1,W16O73_day1_exp3B,W15O67_3B_day1.JPG,,,W16O73_day11_exp3B,W15O67_3B_day11.JPG,,,
3,B,N,18,N_18,30,S,S,S_S,244,N_18_30_S_S,1,W16O74,W16O74_exp3B,1,W16O74_day1_exp3B,W15O69_3B_day1.JPG,,,W16O74_day11_exp3B,W15O69_3B_day11.JPG,,,
3,B,N,18,N_18,30,S,S,S_S,247,N_18_30_S_S,1,W16O75,W16O75_exp3B,1,W16O75_day1_exp3B,W15O70_3B_day1.JPG,,,W16O75_day11_exp3B,W15O70_3B_day11.JPG,,,
3,B,N,18,N_18,30,S,S,S_S,252,N_18_30_S_S,1,W16O76,W16O76_exp3B,1,W16O76_day1_exp3B,W15O71_3B_day1.JPG,,,W16O76_day11_exp3B,W15O71_3B_day11.JPG,,,
3,B,N,0,N_0,30,F,A,F_A,249,CNTRL_30_F_A,1,W17O83,W17O83_exp3B,1,W17O83_day1_exp3B,W16O77_3B_day1.JPG,,,W17O83_day11_exp3B,W16O77_3B_day11.JPG,,,
3,B,N,0,N_0,30,F,A,F_A,238,CNTRL_30_F_A,1,W1O1,W1O1_exp3B,1,W1O1_day1_exp3B,W17O78_3B_day1.JPG,,,W1O1_day11_exp3B,W1O1_3B_day11.JPG,,,
3,B,N,0,N_0,30,F,S,F_S,242,CNTRL_30_F_S,1,W1O2,W1O2_exp3B,1,W1O2_day1_exp3B,W17O79_3B_day1.JPG,,,W1O2_day11_exp3B,W1O2_3B_day11.JPG,,,
3,B,N,0,N_0,30,F,S,F_S,251,CNTRL_30_F_S,1,W1O3,W1O3_exp3B,1,W1O3_day1_exp3B,W17O80_3B_day1.JPG,,,W1O3_day11_exp3B,W1O3_3B_day11.JPG,,,
3,B,N,0,N_0,30,F,S,F_S,245,CNTRL_30_F_S,1,W1O4,W1O4_exp3B,1,W1O4_day1_exp3B,W17O82_3B_day1.JPG,,,W1O4_day11_exp3B,W1O4_3B_day11.JPG,,,
