,treatment_ID,N.x,NO3_uM,sd.x,se.x,ci.x,N.y,NH4_uM,sd.y,se.y,ci.y
1,A_0_20_F,2,3.023,1.475024746,1.043,13.25257154,2,4.275,1.023890619,0.724,9.199292229
2,A_0_20_S,4,1.605,0.882440933,0.441220466,1.404160443,4,5.6645,3.086664489,1.543332244,4.911571999
3,A_0_30_F,2,2.3655,0.669630122,0.4735,6.016387943,2,16.977,6.468612834,4.574,58.11818046
4,A_0_30_S,4,2.871,0.512798206,0.256399103,0.815976378,4,12.99825,3.068339548,1.534169774,4.882412929
5,A_10_20_F,2,3.503,0.554371716,0.392,4.980832257,2,12.384,1.322289681,0.935,11.88030143
6,A_10_20_S,4,3.133,1.505486632,0.752743316,2.395565185,4,20.30575,11.06290409,5.531452045,17.60354912
7,A_10_30_F,2,2.017,0.59538391,0.421,5.349312194,2,22.001,3.768879144,2.665,33.86203562
8,A_10_30_S,4,3.6255,1.190578151,0.595289075,1.894475519,4,21.30325,2.88953057,1.444765285,4.597887944
9,A_5_20_F,2,2.518,0.079195959,0.056,0.711547465,2,13.433,1.665943576,1.178,14.96790918
10,A_5_20_S,4,3.4665,1.281971009,0.640985504,2.03990195,4,11.236,4.377205501,2.188602751,6.965110737
11,A_5_30_F,2,2.6645,1.208445489,0.8545,10.85745195,2,10.267,3.112684051,2.201,27.96635662
12,A_5_30_S,4,3.08375,0.917111907,0.458555954,1.4593297,4,19.91575,5.760205805,2.880102903,9.165772841
13,A_7.5_20_F,2,3.24,1.186525179,0.839,10.66050577,2,11.789,1.574019695,1.113,14.14200587
14,A_7.5_20_S,4,2.461,0.727242738,0.363621369,1.157205482,4,13.123,5.492393467,2.746196734,8.739623649
15,A_7.5_30_F,2,2.424,1.275620633,0.902,11.46099667,2,14.952,10.63912863,7.523,95.58877823
16,A_7.5_30_S,4,3.125,1.020443368,0.510221684,1.623753113,4,19.2815,7.561055901,3.78052795,12.03132721
17,N_0_20_F,2,1.214,0.267286363,0.189,2.401472695,2,4.6815,1.272085099,0.8995,11.42923116
18,N_0_20_S,4,3.13625,0.993613733,0.496806866,1.581061176,4,5.73675,2.524850012,1.262425006,4.017599796
19,N_0_30_F,2,1.5285,0.399515331,0.2825,3.589502838,2,13.0625,11.57745933,8.1865,104.0193451
20,N_0_30_S,4,3.325,0.954230231,0.477115115,1.518393236,4,13.65775,3.657815594,1.828907797,5.820400861
21,N_1.5_20_F,2,4.4475,1.181575431,0.8355,10.61603406,2,3.631,1.641901946,1.161,14.7519037
22,N_1.5_20_S,4,3.57675,0.45504313,0.227521565,0.724075164,4,7.60225,4.86745398,2.43372699,7.745205468
23,N_1.5_30_F,2,2.5815,0.048790368,0.0345,0.438364063,2,11.0275,0.338704148,0.2395,3.043136034
24,N_1.5_30_S,4,6.054,2.382969156,1.191484578,3.791835694,4,19.77225,6.038706394,3.019353197,9.608929427
25,N_18_20_F,2,10.9255,3.10632009,2.1965,27.9091787,2,4.173,0.838628642,0.593,7.534779409
26,N_18_20_S,4,13.03475,3.430039103,1.715019552,5.457957636,4,9.2295,10.61036275,5.305181375,16.88345486
27,N_18_30_F,2,11.664,2.353251368,1.664,21.14312468,2,8.8355,1.608667927,1.1375,14.45330789
28,N_18_30_S,4,17.905,2.530628776,1.265314388,4.026795099,4,15.95375,1.274552045,0.637276023,2.028096724
29,N_5_20_F,2,7.0775,0.925602777,0.6545,8.316211,2,5.2485,0.818122546,0.5785,7.35053944
30,N_5_20_S,4,5.87925,1.439934345,0.719967172,2.291256867,4,8.4235,6.42155176,3.21077588,10.21812184
31,N_5_30_F,2,5.8445,0.301934596,0.2135,2.712774711,2,11.501,5.68089588,4.017,51.04082443
32,N_5_30_S,4,6.857,1.260472398,0.630236199,2.005692863,4,15.961,3.966252387,1.983126194,6.311192628
