variable,coef,lower_95_CI,upper_95_CI,sign_95_CI,lower_90_CI,upper_90_CI,sign_90_CI,label
(Intercept),-0.7042311644797975,-4.450808970527053,3.0271172429375097,0 in 95% CI,-3.8763061478383283,2.4941245239700573,0 in 90% CI,INTERCEPT
dose_levelElevated,3.7363741190405935,-3.6104584498240735,11.608562339958581,0 in 95% CI,-2.3593505685083818,10.398682633326377,0 in 90% CI,Elevated NO3-
temp29,3.8987065144878787,-0.7826744345134998,8.750785673657028,0 in 95% CI,-0.08831138554068081,7.887347557711359,0 in 90% CI,29°C
feedStarved,1.2744420492509247,-3.46176413983146,6.086632546272308,0 in 95% CI,-2.5827266133952254,5.3731484474804185,0 in 90% CI,Starved
symbiontSymbiotic,-2.693791946857306,-7.6202051906042305,2.2699447083235462,0 in 95% CI,-6.9277822030512,1.4487145226213154,0 in 90% CI,Symbiotic
dose_levelElevated:temp29,-1.1634613553193458,-12.6977352429921,10.291517980556504,0 in 95% CI,-10.959924113628908,8.64896570073162,0 in 90% CI,Elevated NO3- x 29°C
dose_levelElevated:feedStarved,-2.6038569510644,-14.831713352115953,9.496912481865696,0 in 95% CI,-13.042189183499191,7.538542290453472,0 in 90% CI,Elevated NO3- x Starved
dose_levelElevated:symbiontSymbiotic,-4.011296414357108,-15.044064363273097,6.314889064231184,0 in 95% CI,-13.113731770998955,4.5112608556875955,0 in 90% CI,Elevated NO3- x Symbiotic
temp29:feedStarved,-0.8619782409478763,-7.7255109397915955,5.795710005289978,0 in 95% CI,-6.5312316449793455,4.793052275516786,0 in 90% CI,29°C x Starved
temp29:symbiontSymbiotic,1.552031808846098,-4.774691768308232,8.045123984175753,0 in 95% CI,-3.7727989974746823,7.126261554964385,0 in 90% CI,29°C x Symbiotic
feedStarved:symbiontSymbiotic,-1.061769662427679,-7.829988877548928,5.450661567037935,0 in 95% CI,-6.770427219315816,4.525598048872769,0 in 90% CI,Starved x Symbiotic
dose_levelElevated:temp29:feedStarved,-3.305905606155473,-19.556623672383193,12.094337819021433,0 in 95% CI,-16.71397675291947,9.466067935133951,0 in 90% CI,Elevated NO3- x 29°C x Starved
dose_levelElevated:temp29:symbiontSymbiotic,-5.792169421786056,-21.696726790661387,9.423684858083032,0 in 95% CI,-18.94277583588167,7.235077082071146,0 in 90% CI,Elevated NO3- x 29°C x Symbiotic
dose_levelElevated:feedStarved:symbiontSymbiotic,0.7358599796132984,-16.6925455009181,18.145646300307817,0 in 95% CI,-13.559709540448047,15.566040055064873,0 in 90% CI,Elevated NO3- x Starved x Symbiotic
temp29:feedStarved:symbiontSymbiotic,4.3102010389375485,-5.121927269126197,13.779512056731333,0 in 95% CI,-3.5049503610883814,12.034136989019505,0 in 90% CI,29°C x Starved x Symbiotic
dose_levelElevated:temp29:feedStarved:symbiontSymbiotic,7.750377621408555,-13.877255388978567,30.417617744778404,0 in 95% CI,-10.346611877622822,26.664318884590063,0 in 90% CI,Elevated NO3- x 29°C x Starved x Symbiotic
